"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","1100000088","北京市人民政府","www.beijing.gov.cn","北京市经济和信息化委员会","正常"
"2","1200000052","天津政务网","http://www.tj.gov.cn/","天津市人民政府办公厅","正常"
"3","1300000013","河北省人民政府（中国河北）","www.hebei.gov.cn","河北省人民政府办公厅","正常"
"4","1400000045","山西省人民政府门户网站","http://www.shanxi.gov.cn","山西省人民政府办公厅","正常"
"5","1500000001","内蒙古自治区政府门户网站","https://www.nmg.gov.cn","内蒙古自治区人民政府办公厅","正常"
"6","2100000037","辽宁省人民政府门户网站","http://www.ln.gov.cn","辽宁省人民政府办公厅","正常"
"7","2200000019","吉林省人民政府","http://www.jl.gov.cn","吉林省人民政府办公厅","正常"
"8","2300000061","黑龙江省人民政府","http://www.hlj.gov.cn","黑龙江省人民政府办公厅","正常"
"9","3100000044","中国上海","https://www.shanghai.gov.cn/","上海市人民政府办公厅","正常"
"10","3200000084","江苏省人民政府","http://www.jiangsu.gov.cn；http://www.js.gov.cn","江苏省人民政府办公厅","正常"
"11","3300000068","浙江省人民政府","www.zj.gov.cn","浙江省人民政府办公厅","正常"
"12","3400000001","安徽省人民政府","http://www.ah.gov.cn","安徽省人民政府办公厅","正常"
"13","3500000049","“中国福建”网站","http://www.fujian.gov.cn; http://www.fj.gov.cn;","福建省人民政府办公厅","正常"
"14","3600000012","江西省人民政府网站","http://www.jiangxi.gov.cn","江西省人民政府办公厅","正常"
"15","3700000071","山东省人民政府","http://www.shandong.gov.cn","山东省人民政府办公厅","正常"
"16","4100000001","河南省人民政府门户网站","http://www.henan.gov.cn","河南省人民政府办公厅","正常"
"17","4200000093","湖北省人民政府门户网站","http://www.hubei.gov.cn","湖北省人民政府办公厅","正常"
"18","4300000001","湖南省政府门户网站","http://www.hunan.gov.cn/","湖南省人民政府办公厅","正常"
"19","4400000131","广东省人民政府门户网站","http://www.gd.gov.cn","广东省人民政府办公厅","正常"
"20","4500000123","广西壮族自治区人民政府门户网站","http://www.gxzf.gov.cn/","广西壮族自治区人民政府办公厅","正常"
"21","4600000001","海南省人民政府","http://www.hainan.gov.cn/","海南省人民政府办公厅","正常"
"22","5000000095","重庆市政府网","http://www.cq.gov.cn/","重庆市人民政府电子政务办公室","正常"
"23","5100000062","四川省人民政府","http://www.sc.gov.cn/","四川省人民政府办公厅","正常"
"24","5200000083","贵州省人民政府","https://www.guizhou.gov.cn/","贵州省人民政府办公厅","正常"
"25","5300000033","云南省人民政府门户网站","http://www.yn.gov.cn","云南省人民政府办公厅","正常"
"26","5400000040","西藏自治区人民政府","http://www.xizang.gov.cn/","西藏自治区人民政府","正常"
"27","6100000017","陕西省人民政府","http://www.shaanxi.gov.cn/","陕西省人民政府办公厅","正常"
"28","6200000001","甘肃省人民政府","http://www.gansu.gov.cn/","甘肃省人民政府办公厅","正常"
"29","6300000001","青海省人民政府","http://www.qinghai.gov.cn/","中共青海省委宣传部","正常"
"30","6400000091","宁夏回族自治区人民政府","http://www.nx.gov.cn","宁夏回族自治区人民政府办公厅","正常"
"31","6500000034","新疆维吾尔自治区人民政府网站","http://www.xinjiang.gov.cn","新疆维吾尔自治区人民政府办公厅","正常"
"32","BT00000020","新疆生产建设兵团","www.xjbt.gov.cn","兵团办公厅","正常"